2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/hdrBestSellers.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /images/orderpagecvr/CVR-B/bethom/bethom-cvrop-default.jpg - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/hdrAlsoCheckOut.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 15
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/alsoCheckOutBusiness.jpg - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/alsoCheckOutDigital.jpg - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 15
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/footerTop.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/alsoCheckOutFacebook.jpg - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/logo.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/topNavSearchBg.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/searchBtn.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/topNavCustomer.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/topNavGiftCert.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 15
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/topNavHelp.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/topNavSignInBg.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/yourAccount.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 15
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/cart.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/signIn.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/arrow.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/centerMagazineBg.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 15
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/centerWhiteBtm.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/rightColumnBg.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/rightColumnBtm.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/footerDivider.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:42 172.17.100.8 GET /templates/smartsub/redesign/images/footerBtm.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:43 172.17.100.8 GET /includes/colorbox/images/overlay.png - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:43 172.17.100.8 GET /includes/colorbox/images/border.png - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:43 172.17.100.8 GET /includes/colorbox/images/controls.png - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:43 172.17.100.8 GET /includes/colorbox/images/loading_background.png - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:04:43 172.17.100.8 GET /includes/colorbox/images/loading.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 15
2015-08-28 18:04:43 172.17.100.8 GET /favicon.png - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 0
2015-08-28 18:07:36 172.17.100.8 GET / - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 - 200 0 0 62
2015-08-28 18:07:36 172.17.100.8 GET /templates/smartsub/redesign/images/hdrWhatsHot.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 15
2015-08-28 18:07:36 172.17.100.8 GET /templates/smartsub/redesign/images/topNavSearchBg.gif - 443 - 108.44.213.248 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.7.12 (KHTML, like Gecko) Version/7.1.7 Safari/537.85.16 https://www.REDACTED.com/ 200 0 0 31
