2015-08-28 18:11:47 172.17.100.8 GET /templates/smartsub/redesign/images/topNavCustomer.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/templates/smartsub/redesign/style.css 200 0 0 15
2015-08-28 18:11:47 172.17.100.8 GET /templates/smartsub/redesign/images/rightColumnBtm.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/templates/smartsub/redesign/style.css 200 0 0 0
2015-08-28 18:11:47 172.17.100.8 GET /templates/smartsub/redesign/images/footerDivider.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/templates/smartsub/redesign/style.css 200 0 0 0
2015-08-28 18:11:47 172.17.100.8 GET /templates/smartsub/redesign/images/topNavHelp.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/templates/smartsub/redesign/style.css 200 0 0 0
2015-08-28 18:11:47 172.17.100.8 GET /templates/smartsub/redesign/images/topNavGiftCert.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/templates/smartsub/redesign/style.css 200 0 0 0
2015-08-28 18:11:47 172.17.100.8 GET /templates/smartsub/redesign/images/rightColumnBg.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/templates/smartsub/redesign/style.css 200 0 0 0
2015-08-28 18:11:47 172.17.100.8 GET /templates/smartsub/redesign/images/arrow.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/templates/smartsub/redesign/style.css 200 0 0 0
2015-08-28 18:11:48 172.17.100.8 GET /includes/colorbox/images/controls.png - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/includes/colorbox/colorbox.css 200 0 0 0
2015-08-28 18:11:48 172.17.100.8 GET /includes/colorbox/images/border.png - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/includes/colorbox/colorbox.css 200 0 0 0
2015-08-28 18:11:48 172.17.100.8 GET /templates/smartsub/redesign/images/alsoCheckOutFacebook.jpg - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:48 172.17.100.8 GET /templates/smartsub/redesign/images/hdrStaffFavorite.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:48 172.17.100.8 GET /templates/smartsub/redesign/images/bySubscriptionPrice.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:48 172.17.100.8 GET /templates/smartsub/redesign/images/alsoCheckOutDigital.jpg - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:48 172.17.100.8 GET /templates/smartsub/redesign/images/centerBlueBtm.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:48 172.17.100.8 GET /templates/smartsub/redesign/images/hdrOtherStaffFavorites.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 15
2015-08-28 18:11:48 172.17.100.8 GET /templates/smartsub/redesign/images/alsoCheckOutBusiness.jpg - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:48 172.17.100.8 GET /templates/smartsub/redesign/images/hdrWhatsHot.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:48 172.17.100.8 GET /templates/smartsub/redesign/images/byCategory.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:48 172.17.100.8 GET /templates/smartsub/redesign/images/hdrAlsoCheckOut.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
2015-08-28 18:11:48 172.17.100.8 GET /templates/smartsub/redesign/images/hdrOtherHotTitles.gif - 443 - 24.100.55.198 Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 https://www.REDACTED.com/index.php?ccmode=1 200 0 0 0
